Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude
Montaren-et-Saint-Mediers,Occitanie,Gard,Chateau,16e siecle,44.0303439027, 4.37937974825
Marsan,Occitanie,Gers,Chateau,2e moitie 18e siecle,43.649414, 0.722938
Montclera,Occitanie,Lot,Chateau,16e siecle,44.6191005571, 1.21126797781
Capendu,Occitanie,Aude,Chateau,Moyen Age,43.1839755061, 2.55893671473
"Montmaur,Occitanie,Aude,Chateau,15e siecle;17e siecle,43.3931618366, 1.84516173988"
"Estaing,Occitanie,Aveyron,Chateau,15e siecle;16e siecle,44.553812054, 2.67268440507"
Larrazet,Occitanie,Tarn-et-Garonne,Chateau,1er quart 16e siecle,43.9301467065, 1.08243087218
Calmont,Occitanie,Haute-Garonne,Chateau,14e siecle,43.2864362798, 1.63264014979
"Mauremont,Occitanie,Haute-Garonne,Chateau,4e quart 17e siecle;18e siecle;1er quart 19e siecle,43.4571867154, 1.68006350055"
"Brax,Occitanie,Haute-Garonne,Chateau,13e siecle;16e siecle;18e siecle,43.6173116369, 1.24135879218"
"Nizas,Occitanie,Herault,Chateau,4e quart 16e siecle;1er quart 17e siecle,43.5125359608, 3.4079403297"
Castelnau-Montratier,Occitanie,Lot,Chateau,13e siecle,44.2671071698, 1.35387222456
"Savenes,Occitanie,Tarn-et-Garonne,Chateau,17e siecle;19e siecle,43.8336919137, 1.20108937715"
"Saint-Hippolyte,Occitanie,Pyrenees-Orientales,Chateau,Moyen Age;17e siecle;18e siecle,42.7846618961, 2.96689731728"
Couffoulens,Occitanie,Aude,Chateau,18e siecle,43.1551914877, 2.3068514053
Magnas,Occitanie,Gers,Chateau,16e siecle,43.893805, 0.725687
"Saint-Amans-Valtoret,Occitanie,Tarn,Chateau,17e siecle;18e siecle;19e siecle,43.4813634186, 2.48998851582"
"Palaminy,Occitanie,Haute-Garonne,Chateau,Moyen Age;16e siecle;17e siecle,43.204246, 1.073441"
"Larroque-Toirac,Occitanie,Lot,Chateau,13e siecle;15e siecle;1ere moitie 16e siecle;4e quart 17e siecle,44.5216648502, 1.93976177791"
Pieusse,Occitanie,Aude,Chateau,13e siecle (?),43.0805135654, 2.23225930913
"Puilacher,Occitanie,Herault,Chateau,1er quart 17e siecle;18e siecle,43.5680446188, 3.50677334342"
"Bonas,Occitanie,Gers,Chateau,18e siecle;19e siecle,43.780685, 0.408273"
"Pibrac,Occitanie,Haute-Garonne,Chateau,16e siecle;19e siecle,43.6189992049, 1.28675698685"
"Fourquevaux,Occitanie,Haute-Garonne,Chateau,15e siecle;16e siecle;4e quart 18e siecle,43.5070551525, 1.61550755036"
